STR	CUI=CUI	PREF=STR
Poor fine motor skills	CUI=C4014389	PREF=Poor fine motor skills
Poor gross motor coordination	CUI=C0556280	PREF=Poor gross motor coordination
Poor motor coordination	CUI=C1848453	PREF=Poor motor coordination
Poor motor skills	CUI=C4479570	PREF=Poor motor skills
Poor spontaneous movements	CUI=C2675268	PREF=Poor spontaneous movements
Restricted range of movement in some joints (rare)	CUI=C3151614	PREF=Restricted range of movement in some joints (rare)
right ankle catches during movement	CUI=C2127603	PREF=right ankle catches during movement
right ankle catches during movement (symptom)	CUI=C2127603	PREF=right ankle catches during movement (symptom)
right eye pain with movement	CUI=C2032247	PREF=right eye pain with movement
right fourth toe 'catches' during movement	CUI=C2127998	PREF=right fourth toe 'catches' during movement
right fourth toe 'catches' during movement (symptom)	CUI=C2127998	PREF=right fourth toe 'catches' during movement (symptom)
right great toe 'catches' during movement	CUI=C2127995	PREF=right great toe 'catches' during movement
right hip catches during movement	CUI=C2127632	PREF=right hip catches during movement
right hip catches during movement (symptom)	CUI=C2127632	PREF=right hip catches during movement (symptom)
right index finger 'catches' during movement	CUI=C2127757	PREF=right index finger 'catches' during movement
right index finger 'catches' during movement (symptom)	CUI=C2127757	PREF=right index finger 'catches' during movement (symptom)
right inner edge shoulder blade pain unchanged with movement	CUI=C2127687	PREF=right inner edge shoulder blade pain unchanged with movement
right inner edge shoulder blade pain worse with movement	CUI=C2127686	PREF=right inner edge shoulder blade pain worse with movement
right knee catches during movement	CUI=C2127578	PREF=right knee catches during movement
right knee catches during movement (symptom)	CUI=C2127578	PREF=right knee catches during movement (symptom)
right little finger 'catches' during movement	CUI=C2127760	PREF=right little finger 'catches' during movement
right little toe 'catches' during movement	CUI=C2127999	PREF=right little toe 'catches' during movement
right little toe 'catches' during movement (symptom)	CUI=C2127999	PREF=right little toe 'catches' during movement (symptom)
right middle finger 'catches' during movement	CUI=C2127758	PREF=right middle finger 'catches' during movement
right middle finger 'catches' during movement (symptom)	CUI=C2127758	PREF=right middle finger 'catches' during movement (symptom)
right middle toe 'catches' during movement	CUI=C2127997	PREF=right middle toe 'catches' during movement
right middle toe 'catches' during movement (symptom)	CUI=C2127997	PREF=right middle toe 'catches' during movement (symptom)
right ring finger 'catches' during movement	CUI=C2127759	PREF=right ring finger 'catches' during movement
right second toe 'catches' during movement	CUI=C2127996	PREF=right second toe 'catches' during movement
right shoulder catches during movement	CUI=C2127660	PREF=right shoulder catches during movement
right shoulder catches during movement (symptom)	CUI=C2127660	PREF=right shoulder catches during movement (symptom)
right thumb 'catches' during movement	CUI=C2127756	PREF=right thumb 'catches' during movement
right thumb 'catches' during movement (symptom)	CUI=C2127756	PREF=right thumb 'catches' during movement (symptom)
right wrist catches during movement	CUI=C2127917	PREF=right wrist catches during movement
shoulder catches during movement	CUI=C2127659	PREF=shoulder catches during movement
Shoulder joint - range of movement	CUI=C0575545	PREF=Shoulder joint - range of movement
Shoulder joint - range of movement - finding	CUI=C1287989	PREF=Shoulder joint - range of movement - finding
Shoulder joint - range of movement (observable entity)	CUI=C0575545	PREF=Shoulder joint - range of movement (observable entity)
shoulder joint pain feels better after normal movement	CUI=C2128142	PREF=shoulder joint pain feels better after normal movement
shoulder joint pain with active movement	CUI=C2126208	PREF=shoulder joint pain with active movement
shoulder joint pain with active movement (symptom)	CUI=C2126208	PREF=shoulder joint pain with active movement (symptom)
Shoulder joint painful on movement	CUI=C0575627	PREF=Shoulder joint painful on movement
Shoulder joint painful on movement (finding)	CUI=C0575627	PREF=Shoulder joint painful on movement (finding)
shoulder joint stiffness feels better after normal movement	CUI=C2109059	PREF=shoulder joint stiffness feels better after normal movement
the ankle catches during movement	CUI=C2127602	PREF=the ankle catches during movement
the elbow catches during movement	CUI=C2127538	PREF=the elbow catches during movement
the fingers of both hands 'catch' during movement	CUI=C2127767	PREF=the fingers of both hands 'catch' during movement
the hip catches during movement	CUI=C2030985	PREF=the hip catches during movement
the knee catches during movement	CUI=C2109427	PREF=the knee catches during movement
the left ankle catches during movement	CUI=C2127604	PREF=the left ankle catches during movement
the left elbow catches during movement	CUI=C2127540	PREF=the left elbow catches during movement
the left fourth toe 'catches' during movement	CUI=C2128004	PREF=the left fourth toe 'catches' during movement
the left great toe 'catches' during movement	CUI=C2128001	PREF=the left great toe 'catches' during movement
the left hip catches during movement	CUI=C2127633	PREF=the left hip catches during movement
the left index finger 'catches' during movement	CUI=C2127763	PREF=the left index finger 'catches' during movement
the left knee catches during movement	CUI=C2127579	PREF=the left knee catches during movement
the left little finger 'catches' during movement	CUI=C2127766	PREF=the left little finger 'catches' during movement
the left little toe 'catches' during movement	CUI=C2128005	PREF=the left little toe 'catches' during movement
the left middle finger 'catches' during movement	CUI=C2127764	PREF=the left middle finger 'catches' during movement
the left middle toe 'catches' during movement	CUI=C2128003	PREF=the left middle toe 'catches' during movement
the left ring finger 'catches' during movement	CUI=C2127765	PREF=the left ring finger 'catches' during movement
the left second toe 'catches' during movement	CUI=C2128002	PREF=the left second toe 'catches' during movement
the left shoulder catches during movement	CUI=C2127661	PREF=the left shoulder catches during movement
the left thumb 'catches' during movement	CUI=C2127762	PREF=the left thumb 'catches' during movement
the left wrist catches during movement	CUI=C2127918	PREF=the left wrist catches during movement
the right ankle catches during movement	CUI=C2127603	PREF=the right ankle catches during movement
the right elbow catches during movement	CUI=C2127539	PREF=the right elbow catches during movement
the right fourth toe 'catches' during movement	CUI=C2127998	PREF=the right fourth toe 'catches' during movement
the right great toe 'catches' during movement	CUI=C2127995	PREF=the right great toe 'catches' during movement
the right hip catches during movement	CUI=C2127632	PREF=the right hip catches during movement
the right index finger 'catches' during movement	CUI=C2127757	PREF=the right index finger 'catches' during movement
the right knee catches during movement	CUI=C2127578	PREF=the right knee catches during movement
the right little finger 'catches' during movement	CUI=C2127760	PREF=the right little finger 'catches' during movement
the right little toe 'catches' during movement	CUI=C2127999	PREF=the right little toe 'catches' during movement
the right middle finger 'catches' during movement	CUI=C2127758	PREF=the right middle finger 'catches' during movement
the right middle toe 'catches' during movement	CUI=C2127997	PREF=the right middle toe 'catches' during movement
the right ring finger 'catches' during movement	CUI=C2127759	PREF=the right ring finger 'catches' during movement
the right second toe 'catches' during movement	CUI=C2127996	PREF=the right second toe 'catches' during movement
the right shoulder catches during movement	CUI=C2127660	PREF=the right shoulder catches during movement
the right thumb 'catches' during movement	CUI=C2127756	PREF=the right thumb 'catches' during movement
the right wrist catches during movement	CUI=C2127917	PREF=the right wrist catches during movement
the shoulder catches during movement	CUI=C2127659	PREF=the shoulder catches during movement
the toes of both feet 'catch' during movement	CUI=C2128006	PREF=the toes of both feet 'catch' during movement
the wrist catches during movement	CUI=C2127916	PREF=the wrist catches during movement
Thoracic spine - painful on movement (finding)	CUI=C0575354	PREF=Thoracic spine - painful on movement (finding)
Thoracic spine - range of movement - finding	CUI=C1287925	PREF=Thoracic spine - range of movement - finding
Thoracic spine - range of movement (observable entity)	CUI=C0575281	PREF=Thoracic spine - range of movement (observable entity)
Thumb joint - range of movement	CUI=C0575905	PREF=Thumb joint - range of movement
Thumb joint - range of movement - finding	CUI=C1288204	PREF=Thumb joint - range of movement - finding
Thumb joint - range of movement (observable entity)	CUI=C0575905	PREF=Thumb joint - range of movement (observable entity)
Thumb joint painful on movement	CUI=C0575966	PREF=Thumb joint painful on movement
Thumb joint painful on movement (finding)	CUI=C0575966	PREF=Thumb joint painful on movement (finding)
Thumb joint-range of movement	CUI=C0575905	PREF=Thumb joint-range of movement
Toe joint - range of movement	CUI=C0576340	PREF=Toe joint - range of movement
Toe joint - range of movement - finding	CUI=C1288220	PREF=Toe joint - range of movement - finding
Toe joint - range of movement (observable entity)	CUI=C0576340	PREF=Toe joint - range of movement (observable entity)
toe joint pain with active movement	CUI=C2108897	PREF=toe joint pain with active movement
toe joint pain with passive movement	CUI=C2108898	PREF=toe joint pain with passive movement
Toe joint painful on movement	CUI=C0576390	PREF=Toe joint painful on movement
Toe joint painful on movement (finding)	CUI=C0576390	PREF=Toe joint painful on movement (finding)
toe pain was elicited at the initiation of movement	CUI=C2088504	PREF=toe pain was elicited at the initiation of movement
toes 'catch' during movement	CUI=C2127993	PREF=toes 'catch' during movement
toes 'catch' during movement (symptom)	CUI=C2127993	PREF=toes 'catch' during movement (symptom)
toes of both feet 'catch' during movement (symptom)	CUI=C2128006	PREF=toes of both feet 'catch' during movement (symptom)
toes of left foot 'catch' during movement	CUI=C2128000	PREF=toes of left foot 'catch' during movement
toes of left foot 'catch' during movement (symptom)	CUI=C2128000	PREF=toes of left foot 'catch' during movement (symptom)
toes of right foot 'catch' during movement	CUI=C2127994	PREF=toes of right foot 'catch' during movement
toes of right foot 'catch' during movement (symptom)	CUI=C2127994	PREF=toes of right foot 'catch' during movement (symptom)
upper back pain along inner edge of right scapula unchanged with movement	CUI=C2127687	PREF=upper back pain along inner edge of right scapula unchanged with movement
upper back pain along inner edge of right scapula unchanged with movement (symptom)	CUI=C2127687	PREF=upper back pain along inner edge of right scapula unchanged with movement (symptom)
upper back pain along inner edge of right scapula worse with movement	CUI=C2127686	PREF=upper back pain along inner edge of right scapula worse with movement
upper back pain along inner edge of right scapula worse with movement (symptom)	CUI=C2127686	PREF=upper back pain along inner edge of right scapula worse with movement (symptom)
upper back pain in midline improves with movement	CUI=C2129446	PREF=upper back pain in midline improves with movement
upper back pain in midline improves with movement (symptom)	CUI=C2129446	PREF=upper back pain in midline improves with movement (symptom)
upper back pain in midline unchanged with movement	CUI=C2129445	PREF=upper back pain in midline unchanged with movement
upper back pain in midline unchanged with movement (symptom)	CUI=C2129445	PREF=upper back pain in midline unchanged with movement (symptom)
upper back pain in midline worse with movement	CUI=C2129444	PREF=upper back pain in midline worse with movement
upper back pain in midline worse with movement (symptom)	CUI=C2129444	PREF=upper back pain in midline worse with movement (symptom)
Upper motor neuron involvement	CUI=C4229270	PREF=Upper motor neuron involvement
Upper motor neuron signs	CUI=C0749870	PREF=Upper motor neuron signs
Weakness of joint movement	CUI=C0575026	PREF=Weakness of joint movement
Weakness of joint movement (finding)	CUI=C0575026	PREF=Weakness of joint movement (finding)
wrist catches during movement	CUI=C2127916	PREF=wrist catches during movement
wrist catches during movement (symptom)	CUI=C2127916	PREF=wrist catches during movement (symptom)
Wrist joint - range of movement	CUI=C0575717	PREF=Wrist joint - range of movement
Wrist joint - range of movement - finding	CUI=C1288039	PREF=Wrist joint - range of movement - finding
Wrist joint - range of movement (observable entity)	CUI=C0575717	PREF=Wrist joint - range of movement (observable entity)
Wrist joint painful movement	CUI=C0575788	PREF=Wrist joint painful movement
Wrist joint painful on movement	CUI=C0575788	PREF=Wrist joint painful on movement
Wrist joint painful on movement (finding)	CUI=C0575788	PREF=Wrist joint painful on movement (finding)
Wrist joint-range of movement	CUI=C0575717	PREF=Wrist joint-range of movement
wrist pain was elicited at the initiation of movement	CUI=C2088476	PREF=wrist pain was elicited at the initiation of movement
wrist pain with active movement	CUI=C2126204	PREF=wrist pain with active movement
